trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear,01 - Rental Details Rental ID,01 - Rental Details Local Start Time,01 - Rental Details Local End Time,01 - Rental Details Bike ID,01 - Rental Details Duration In Seconds Uncapped,03 - Rental Start Station ID,03 - Rental Start Station Name,02 - Rental End Station ID,02 - Rental End Station Name,User Type,Member Gender,05 - Member Details Member Birthday Year
22163134.0,2019-03-29 08:02:23,2019-03-29 08:06:36,5090.0,253.0,106.0,State St & Pearson St,199.0,Wabash Ave & Grand Ave,Subscriber,Female,1990.0,,,,,,,,,,,,
21816099.0,2019-01-15 05:19:43,2019-01-15 05:21:01,778.0,78.0,323.0,Sheridan Rd & Lawrence Ave,253.0,Winthrop Ave & Lawrence Ave,Subscriber,Male,1993.0,,,,,,,,,,,,
21862759.0,2019-01-29 07:39:50,2019-01-29 07:45:15,1647.0,325.0,91.0,Clinton St & Washington Blvd,283.0,LaSalle St & Jackson Blvd,Subscriber,Male,1963.0,,,,,,,,,,,,
22042028.0,2019-03-13 08:58:19,2019-03-13 09:01:38,4550.0,199.0,66.0,Clinton St & Lake St,133.0,Kingsbury St & Kinzie St,Subscriber,Female,1962.0,,,,,,,,,,,,
21958640.0,2019-02-23 14:26:02,2019-02-23 14:46:33,876.0,"1,231.0",262.0,Halsted St & 37th St,120.0,Wentworth Ave & Cermak Rd (Temp),Subscriber,,1981.0,,,,,,,,,,,,
21868826.0,2019-02-02 17:10:06,2019-02-02 17:16:13,5024.0,367.0,493.0,Western Ave & Roscoe St,230.0,Lincoln Ave & Roscoe St,Subscriber,Male,1990.0,,,,,,,,,,,,
21834415.0,2019-01-17 18:33:46,2019-01-17 18:37:31,5795.0,225.0,48.0,Larrabee St & Kingsbury St,359.0,Larrabee St & Division St,Subscriber,Male,1994.0,,,,,,,,,,,,
21893986.0,2019-02-07 15:33:58,2019-02-07 15:42:30,4140.0,512.0,635.0,Fairbanks St & Superior St (*),49.0,Dearborn St & Monroe St,Subscriber,Male,1980.0,,,,,,,,,,,,
21972303.0,2019-02-27 08:16:39,2019-02-27 08:20:14,5521.0,215.0,59.0,Wabash Ave & Roosevelt Rd,273.0,Michigan Ave & 18th St,Subscriber,Male,1969.0,,,,,,,,,,,,
21781641.0,2019-01-08 08:34:45,2019-01-08 08:38:15,3126.0,210.0,174.0,Canal St & Madison St,198.0,Green St & Madison St,Subscriber,Male,1986.0,,,,,,,,,,,,
